"studyName","submission_folder","CV_type","y","prop_core_predicted","n_core","n_core_predicted","task_status","has_overlap","original_task_status"
"2025_AYT_Aurora","Prediction4","CV0",0.17847804730474,1,125,125,"success",FALSE,"success"
"2025_AYT_Aurora","Prediction4","CV00",-0.0362513502300444,1,125,125,"success",FALSE,"success"
"2025_AYT_Aurora","Prediction5","CV0",0.246316194959296,0.992,125,124,"success",FALSE,"success"
"2025_AYT_Aurora","Prediction5","CV00",0.0861452471715072,0.992,125,124,"success",FALSE,"success"
"2025_AYT_Aurora","Prediction2","CV0",-0.11651354380554,1,125,125,"success",TRUE,"success"
"2025_AYT_Aurora","Prediction2","CV00",NA,1,125,125,"failed_cv00_train_test_overlap",TRUE,"success"
"2025_AYT_Aurora","Prediction3","CV0",0.160264229834127,1,125,125,"success",FALSE,"success"
"2025_AYT_Aurora","Prediction3","CV00",-0.0885372734628176,1,125,125,"success",FALSE,"success"
"2025_AYT_Aurora","Prediction1","CV00",0.163518412147508,1,125,125,"success",FALSE,"success"
"2025_AYT_Aurora","Prediction1","CV0",0.155901119404231,1,125,125,"success",FALSE,"success"
"24Crk_AY2-3","Prediction4","CV0",0.263443287627015,1,33,33,"success",FALSE,"success"
"24Crk_AY2-3","Prediction4","CV00",0.281376597928645,1,33,33,"success",FALSE,"success"
"24Crk_AY2-3","Prediction5","CV00",0.0409427304389731,1,33,33,"success",FALSE,"success"
"24Crk_AY2-3","Prediction5","CV0",-0.0803178385010431,1,33,33,"success",FALSE,"success"
"24Crk_AY2-3","Prediction2","CV00",NA,0.0303030303030303,33,1,"failed_cv00_train_test_overlap",TRUE,"failed_low_core_coverage"
"24Crk_AY2-3","Prediction2","CV0",NA,0.0303030303030303,33,1,"failed_low_core_coverage",TRUE,"failed_low_core_coverage"
"24Crk_AY2-3","Prediction3","CV00",0.0803178385010431,1,33,33,"success",FALSE,"success"
"24Crk_AY2-3","Prediction3","CV0",-0.0803178385010431,1,33,33,"success",FALSE,"success"
"24Crk_AY2-3","Prediction1","CV00",NA,0.96969696969697,33,32,"failed_cv00_train_test_overlap",TRUE,"failed_correlation_not_estimable"
"24Crk_AY2-3","Prediction1","CV0",NA,0.96969696969697,33,32,"failed_correlation_not_estimable",TRUE,"failed_correlation_not_estimable"
"25_Big6_SVREC_SVREC","Prediction4","CV00",0.118792762148985,1,113,113,"success",FALSE,"success"
"25_Big6_SVREC_SVREC","Prediction4","CV0",0.308122153350726,1,113,113,"success",FALSE,"success"
"25_Big6_SVREC_SVREC","Prediction5","CV00",-0.0400658474217598,1,113,113,"success",FALSE,"success"
"25_Big6_SVREC_SVREC","Prediction5","CV0",0.405746564479447,1,113,113,"success",FALSE,"success"
"25_Big6_SVREC_SVREC","Prediction2","CV00",NA,1,113,113,"failed_cv00_train_test_overlap",TRUE,"success"
"25_Big6_SVREC_SVREC","Prediction2","CV0",0.199127597179121,1,113,113,"success",TRUE,"success"
"25_Big6_SVREC_SVREC","Prediction3","CV00",0.225004345381958,1,113,113,"success",FALSE,"success"
"25_Big6_SVREC_SVREC","Prediction3","CV0",0.374699439471123,1,113,113,"success",FALSE,"success"
"25_Big6_SVREC_SVREC","Prediction1","CV00",NA,0.079646017699115,113,9,"failed_cv00_train_test_overlap",TRUE,"failed_low_core_coverage"
"25_Big6_SVREC_SVREC","Prediction1","CV0",NA,0.079646017699115,113,9,"failed_low_core_coverage",TRUE,"failed_low_core_coverage"
"AWY1_DVPWA_2024","Prediction4","CV00",-0.153518507419426,1,35,35,"success",FALSE,"success"
"AWY1_DVPWA_2024","Prediction4","CV0",0.0619411967523191,1,35,35,"success",FALSE,"success"
"AWY1_DVPWA_2024","Prediction5","CV00",NA,0.628571428571429,35,22,"failed_low_core_coverage",FALSE,"failed_low_core_coverage"
"AWY1_DVPWA_2024","Prediction5","CV0",NA,0.628571428571429,35,22,"failed_low_core_coverage",FALSE,"failed_low_core_coverage"
"AWY1_DVPWA_2024","Prediction2","CV00",NA,1,35,35,"failed_cv00_train_test_overlap",TRUE,"success"
"AWY1_DVPWA_2024","Prediction2","CV0",0.193902747165132,1,35,35,"success",TRUE,"success"
"AWY1_DVPWA_2024","Prediction3","CV0",0.145952006545315,1,35,35,"success",FALSE,"success"
"AWY1_DVPWA_2024","Prediction3","CV00",-0.0994033870448074,1,35,35,"success",FALSE,"success"
"AWY1_DVPWA_2024","Prediction1","CV0",0.157599398828861,1,35,35,"success",FALSE,"success"
"AWY1_DVPWA_2024","Prediction1","CV00",NA,1,35,35,"failed_correlation_not_estimable",FALSE,"failed_correlation_not_estimable"
"CornellMaster_2025_McGowan","Prediction4","CV0",0.142135909007838,1,185,185,"success",FALSE,"success"
"CornellMaster_2025_McGowan","Prediction4","CV00",0.0136193294483583,1,185,185,"success",FALSE,"success"
"CornellMaster_2025_McGowan","Prediction5","CV0",0.173322954240861,1,185,185,"success",FALSE,"success"
"CornellMaster_2025_McGowan","Prediction5","CV00",0.127799249415904,1,185,185,"success",FALSE,"success"
"CornellMaster_2025_McGowan","Prediction2","CV0",-0.0320799996483555,1,185,185,"success",TRUE,"success"
"CornellMaster_2025_McGowan","Prediction2","CV00",NA,1,185,185,"failed_cv00_train_test_overlap",TRUE,"success"
"CornellMaster_2025_McGowan","Prediction3","CV0",0.187777557250918,1,185,185,"success",FALSE,"success"
